ccd,bit,n_bpm1,n_bpm2,pcent_bpm1,pcent_bpm2,diff
7,4096,0,0,0.0,0.0,0
7,8192,204800,204800,2.44140625,2.44140625,0
7,16384,107647,107647,1.283252239227295,1.283252239227295,0
8,0,8011283,8011280,95.50193548202515,95.50189971923828,3
8,1,14350,14350,0.1710653305053711,0.1710653305053711,0
8,2,76495,76949,0.9118914604187012,0.9173035621643066,-454
8,4,0,0,0.0,0.0,0
8,8,0,0,0.0,0.0,0
8,16,1,4,1.1920928955078125e-05,4.76837158203125e-05,-3
8,32,0,0,0.0,0.0,0
8,64,0,0,0.0,0.0,0
8,128,183420,183420,2.1865367889404297,2.1865367889404297,0
8,256,0,0,0.0,0.0,0
8,512,6200,6200,0.07390975952148438,0.07390975952148438,0
8,1024,0,0,0.0,0.0,0
8,2048,7,7,8.344650268554688e-05,8.344650268554688e-05,0
8,4096,0,0,0.0,0.0,0
8,8192,204800,204800,2.44140625,2.44140625,0
8,16384,135856,135856,1.6195297241210938,1.6195297241210938,0
9,0,8012670,8012670,95.51846981048584,95.51846981048584,0
9,1,14387,14387,0.17150640487670898,0.17150640487670898,0
9,2,79312,80223,0.9454727172851562,0.9563326835632324,-911
9,4,0,0,0.0,0.0,0
9,8,0,0,0.0,0.0,0
9,16,4,2,4.76837158203125e-05,2.384185791015625e-05,2
9,32,0,0,0.0,0.0,0
9,64,0,0,0.0,0.0,0
9,128,183420,183420,2.1865367889404297,2.1865367889404297,0
9,256,0,0,0.0,0.0,0
9,512,10260,10260,0.12230873107910156,0.12230873107910156,0
9,1024,0,0,0.0,0.0,0
9,2048,725,725,0.00864267349243164,0.00864267349243164,0
9,4096,0,0,0.0,0.0,0
9,8192,204800,204800,2.44140625,2.44140625,0
9,16384,128357,128357,1.530134677886963,1.530134677886963,0
10,0,8008153,8014170,95.46462297439575,95.53635120391846,-6017
10,1,22560,22560,0.2689361572265625,0.2689361572265625,0
10,2,62796,63379,0.7485866546630859,0.7555365562438965,-583
10,4,0,0,0.0,0.0,0
10,8,13,10,0.00015497207641601562,0.00011920928955078125,3
10,16,232,195,0.002765655517578125,0.0023245811462402344,37
10,32,0,0,0.0,0.0,0
10,64,25732,19707,0.3067493438720703,0.2349257469177246,6025
10,128,183420,183420,2.1865367889404297,2.1865367889404297,0
10,256,0,0,0.0,0.0,0
10,512,0,0,0.0,0.0,0
10,1024,0,0,0.0,0.0,0
10,2048,373,382,0.004446506500244141,0.004553794860839844,-9
10,4096,0,0,0.0,0.0,0
10,8192,204800,204800,2.44140625,2.44140625,0
10,16384,116319,116319,1.3866305351257324,1.3866305351257324,0
11,0,8037337,8037334,95.81252336502075,95.81248760223389,3
11,1,22523,22523,0.2684950828552246,0.2684950828552246,0
11,2,65033,65417,0.7752537727355957,0.7798314094543457,-384
11,4,0,0,0.0,0.0,0
11,8,0,0,0.0,0.0,0
11,16,2,4,2.384185791015625e-05,4.76837158203125e-05,-2
11,32,0,0,0.0,0.0,0
11,64,0,0,0.0,0.0,0
11,128,183420,183420,2.1865367889404297,2.1865367889404297,0
11,256,0,0,0.0,0.0,0
11,512,0,0,0.0,0.0,0
11,1024,0,0,0.0,0.0,0
11,2048,15,16,0.00017881393432617188,0.00019073486328125,-1
11,4096,0,0,0.0,0.0,0
11,8192,204800,204800,2.44140625,2.44140625,0
11,16384,113400,113400,1.3518333435058594,1.3518333435058594,0
12,0,8006757,8004922,95.44798135757446,95.4261064529419,1835
12,1,14380,14394,0.17142295837402344,0.17158985137939453,-14
12,2,72290,74259,0.8617639541625977,0.8852362632751465,-1969
12,4,0,0,0.0,0.0,0
12,8,5274,5272,0.06287097930908203,0.06284713745117188,2
12,16,23102,24937,0.27539730072021484,0.2972722053527832,-1835
12,32,0,0,0.0,0.0,0
12,64,31239,31239,0.37239789962768555,0.37239789962768555,0
12,128,183420,183420,2.1865367889404297,2.1865367889404297,0
12,256,0,0,0.0,0.0,0
12,512,0,0,0.0,0.0,0
12,1024,20480,20480,0.244140625,0.244140625,0
12,2048,122,83,0.0014543533325195312,0.0009894371032714844,39
12,4096,0,0,0.0,0.0,0
12,8192,204800,204800,2.44140625,2.44140625,0
12,16384,95707,95707,1.140916347503662,1.140916347503662,0
13,0,8023159,8029946,95.64350843429565,95.72441577911377,-6787
13,1,14497,14498,0.17281770706176758,0.17282962799072266,-1
13,2,65238,65926,0.7776975631713867,0.7858991622924805,-688
13,4,0,0,0.0,0.0,0
13,8,3112,4,0.037097930908203125,4.76837158203125e-05,3108
13,16,10399,1091,0.12396574020385742,0.013005733489990234,9308
13,32,0,0,0.0,0.0,0
13,64,8871,7298,0.10575056076049805,0.08699893951416016,1573
13,128,183420,183420,2.1865367889404297,2.1865367889404297,0
13,256,0,0,0.0,0.0,0
13,512,0,0,0.0,0.0,0
13,1024,8192,8192,0.09765625,0.09765625,0
13,2048,17,12,0.00020265579223632812,0.0001430511474609375,5
13,4096,0,0,0.0,0.0,0
13,8192,204800,204800,2.44140625,2.44140625,0
13,16384,112157,112157,1.3370156288146973,1.3370156288146973,0
14,0,8019449,8019450,95.59928178787231,95.59929370880127,-1
14,1,14340,14339,0.1709461212158203,0.17093420028686523,1
14,2,82427,82847,0.9826064109802246,0.9876132011413574,-420
14,4,0,0,0.0,0.0,0
14,8,5,5,5.9604644775390625e-05,5.9604644775390625e-05,0
14,16,165,165,0.0019669532775878906,0.0019669532775878906,0
14,32,0,0,0.0,0.0,0
14,64,6566,6566,0.07827281951904297,0.07827281951904297,0
14,128,183420,183420,2.1865367889404297,2.1865367889404297,0
14,256,0,0,0.0,0.0,0
14,512,0,0,0.0,0.0,0
14,1024,12288,12288,0.146484375,0.146484375,0
14,2048,16,16,0.00019073486328125,0.00019073486328125,0
14,4096,0,0,0.0,0.0,0
14,8192,204800,204800,2.44140625,2.44140625,0
14,16384,114398,114398,1.3637304306030273,1.3637304306030273,0
15,0,7992776,7994800,95.28131484985352,95.3054428100586,-2024
15,1,14366,14366,0.17125606536865234,0.17125606536865234,0
15,2,83591,85078,0.9964823722839355,1.0142087936401367,-1487
15,4,0,0,0.0,0.0,0
15,8,2,1,2.384185791015625e-05,1.1920928955078125e-05,1
15,16,66,35,0.0007867813110351562,0.0004172325134277344,31
15,32,0,0,0.0,0.0,0
15,64,4954,2946,0.05905628204345703,0.035119056701660156,2008
15,128,183420,183420,2.1865367889404297,2.1865367889404297,0
15,256,0,0,0.0,0.0,0
15,512,0,0,0.0,0.0,0
15,1024,45056,45056,0.537109375,0.537109375,0
15,2048,10,13,0.00011920928955078125,0.00015497207641601562,-3
15,4096,0,0,0.0,0.0,0
15,8192,204800,204800,2.44140625,2.44140625,0
15,16384,112159,112159,1.3370394706726074,1.3370394706726074,0
16,0,8023002,8023008,95.6416368484497,95.64170837402344,-6
16,1,18319,18331,0.21837949752807617,0.2185225486755371,-12
16,2,71942,72840,0.8576154708862305,0.8683204650878906,-898
16,4,0,0,0.0,0.0,0
16,8,4095,0,0.04881620407104492,0.0,4095
16,16,13664,2198,0.1628875732421875,0.02620220184326172,11466
16,32,0,0,0.0,0.0,0
16,64,4096,0,0.048828125,0.0,4096
16,128,183420,183420,2.1865367889404297,2.1865367889404297,0
16,256,0,0,0.0,0.0,0
16,512,0,0,0.0,0.0,0
16,1024,12288,12288,0.146484375,0.146484375,0
16,2048,169,161,0.002014636993408203,0.0019192695617675781,8
16,4096,0,0,0.0,0.0,0
16,8192,204800,204800,2.44140625,2.44140625,0
16,16384,113489,113489,1.3528943061828613,1.3528943061828613,0
17,0,8025686,8025685,95.67363262176514,95.67362070083618,1
17,1,14356,14355,0.17113685607910156,0.17112493515014648,1
17,2,87554,88379,1.0437250137329102,1.0535597801208496,-825
17,4,0,0,0.0,0.0,0
17,8,0,0,0.0,0.0,0
17,16,1,3,1.1920928955078125e-05,3.5762786865234375e-05,-2
17,32,0,0,0.0,0.0,0
17,64,0,0,0.0,0.0,0
17,128,183420,183420,2.1865367889404297,2.1865367889404297,0
17,256,0,0,0.0,0.0,0
17,512,0,0,0.0,0.0,0
17,1024,0,0,0.0,0.0,0
17,2048,0,0,0.0,0.0,0
17,4096,0,0,0.0,0.0,0
